code,name,price,pct_change,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,adx,vol_ratio,consecutive_up,consecutive_down,entry_label
603001,奥康国际,11.89,9.99,82.2,86.2,-4,25.0,20.0,41.2,33.8,1.79,1,0,🟠 远离均线，不宜追高
603488,展鹏科技,12.83,-2.66,78.99,72.99,6,20.8,5.0,47.19,62.6,1.43,0,1,🟢 最佳入场时机
603201,常润股份,19.28,9.98,78.44,78.44,0,19.86,20.0,38.58,44.5,1.88,2,0,🟠 连涨2天，注意节奏
000668,荣丰控股,22.26,4.8,75.98,75.98,0,18.73,15.0,42.25,58.1,1.47,1,0,🟡 首日上涨，可关注
001326,联域股份,73.88,-0.2,73.59,70.59,3,19.47,5.0,46.12,31.0,1.73,0,1,🟢 回调即机会
603262,技源集团,28.51,5.55,71.19,71.19,0,18.2,15.0,37.99,33.1,2.0,2,0,🟠 连涨2天，注意节奏
000050,深天马Ａ,8.94,-2.19,70.75,67.75,3,17.55,5.0,45.2,33.2,1.79,0,1,🟢 回调即机会
600707,彩虹股份,11.71,-7.5,66.88,63.88,3,18.37,5.0,40.51,26.7,1.42,0,1,🟢 回调即机会
603186,华正新材,238.11,5.05,65.42,75.42,-10,21.89,15.0,38.53,72.0,1.32,4,0,🟠 连涨多日，等回调再入
605020,永和股份,34.17,-7.9,64.48,58.48,6,10.86,5.0,42.62,32.8,1.39,0,1,🟢 最佳入场时机
